"address","area","city","community_name","floor","listing_title","municipal_district","orientation","price","province","rooms","unit_price","url","year","address_region"
"南湖花园-南湖路(长虹中学旁)","120㎡","武汉","新力雅园","（共32层）","精装改毛坯降3000!二环内7地鉄口,新力雅园,华师十长虹中",NA,"南北向","196万",NA,"3室2厅","16333元/㎡","https://wuhan.esf.fang.com/chushou/3_199491689.htm","2022年建","南湖花园"
"南湖花园-南湖路(长虹中学旁)","117㎡","武汉","新力雅园","（共6层）","南湖新房绕不开的选择!现降3000,天地新力雅园,毛坯3房",NA,"南北向","190万",NA,"3室2厅","16239元/㎡","https://wuhan.esf.fang.com/chushou/3_199491688.htm","2022年建","南湖花园"
"南湖花园-武昌南湖新城建安街特1号","124.04㎡","武汉","水域天际","（共6层）","通透户型 精装修满五年 诚心出售",NA,"南向","447万",NA,"3室2厅","36036元/㎡","https://wuhan.esf.fang.com/chushou/3_198648457.htm","2006年建","南湖花园"
"徐家棚-金沙泊岸","141.13㎡","武汉","金沙泊岸","（共53层）","有420W单翅膀 高楼层 满二的 看房有钥匙 欢迎咨询",NA,"南北向","445万",NA,"3室2厅","31531元/㎡","https://wuhan.esf.fang.com/chushou/3_199388997.htm","2018年建","徐家棚"
"白沙洲-烽胜路与八坦北路交汇处(张家湾社区旁)","123.44㎡","武汉","保利新武昌","（共44层）","保利新武昌 3室2厅 123.44平",NA,"南北向","249万",NA,"3室2厅","20171元/㎡","https://wuhan.esf.fang.com/chushou/3_199469262.htm","2019年建","白沙洲"
"南湖花园-南湖路(长虹中学旁)","130.61㎡","武汉","新力雅园","（共6层）","南湖核心地段 天地雅园 精装毛坯可选 经典三房 生活便利",NA,"南北向","222万",NA,"3室2厅","16997元/㎡","https://wuhan.esf.fang.com/chushou/3_199491704.htm","2019年建","南湖花园"
"徐东-团结大道1015号","144.92㎡","武汉","新世纪花园C区","（共9层）","徐东大街精装四房,小高层电梯房,拎包可入住,产权清晰诚心出售",NA,"南北向","203万",NA,"4室2厅","14007元/㎡","https://wuhan.esf.fang.com/chushou/3_199388032.htm","2002年建","徐东"
"南湖花园-南湖路(长虹中学旁)","120㎡","武汉","新力雅园","（共32层）","精装改毛坯降3000!二环内7地鉄口,新力雅园,华师十长虹中",NA,"南北向","196万",NA,"3室2厅","16333元/㎡","https://wuhan.esf.fang.com/chushou/3_199491689.htm","2022年建","南湖花园"
"徐东-徐东大街51号","93.31㎡","武汉","武铁佳苑","（共31层）","武铁佳苑 2室2厅 93.31平",NA,"南向","185万",NA,"2室2厅","19826元/㎡","https://wuhan.esf.fang.com/chushou/3_199410669.htm","2006年建","徐东"
"白沙洲-新武金堤路与八坦路交叉口(向南前行200米)","107㎡","武汉","城投联投誉江南","（共32层）","国企武昌江景房+特价15500+110平毛坯三房+自带商业",NA,"南北向","159.17万",NA,"3室2厅","14875元/㎡","https://wuhan.esf.fang.com/chushou/3_199374291.htm","2022年建","白沙洲"
"南湖花园-南湖路(长虹中学旁)","117㎡","武汉","新力雅园","（共6层）","南湖新房绕不开的选择!现降3000,天地新力雅园,毛坯3房",NA,"南北向","190万",NA,"3室2厅","16239元/㎡","https://wuhan.esf.fang.com/chushou/3_199491688.htm","2022年建","南湖花园"
"南湖花园-南湖路(长虹中学旁)","103㎡","武汉","新力雅园","（共6层）","武昌二环 建安街正口 新力雅园1.7万起倒挂周边二手5千",NA,"南向","175万",NA,"3室2厅","16990元/㎡","https://wuhan.esf.fang.com/chushou/3_199491711.htm","2006年建","南湖花园"
"南湖花园-武昌南湖新城建安街特1号","124.04㎡","武汉","水域天际","（共6层）","通透户型 精装修满五年 诚心出售",NA,"南向","447万",NA,"3室2厅","36036元/㎡","https://wuhan.esf.fang.com/chushou/3_198648457.htm","2006年建","南湖花园"
"南湖花园-武昌南湖新城建安街特1号","84.12㎡","武汉","水域天际","（共11层）","南北通透2房,中间楼层,视野宽阔,采光充足",NA,"南北向","274万",NA,"2室2厅","32572元/㎡","https://wuhan.esf.fang.com/chushou/3_198648348.htm","2007年建","南湖花园"
"徐东-徐东大街51号","94.35㎡","武汉","武铁佳苑","（共31层）","武铁佳苑 2室2厅 94.35平",NA,"南北向","138万",NA,"2室2厅","14626元/㎡","https://wuhan.esf.fang.com/chushou/3_199392764.htm","2007年建","徐东"
"南湖花园-南湖路(长虹中学旁)","121㎡","武汉","新力雅园","（共32层）","新力雅园 二环内,双口 车位商业配套齐全 全程免费看房",NA,"南北向","200万",NA,"3室2厅","16528元/㎡","https://wuhan.esf.fang.com/chushou/3_199491716.htm","2021年建","南湖花园"
"徐家棚-金沙泊岸","141.13㎡","武汉","金沙泊岸","（共53层）","有420W单翅膀 高楼层 满二的 看房有钥匙 欢迎咨询",NA,"南北向","445万",NA,"3室2厅","31531元/㎡","https://wuhan.esf.fang.com/chushou/3_199388997.htm","2018年建","徐家棚"
"徐家棚-金沙泊岸","142㎡","武汉","金沙泊岸","（共41层）","沙湖旁430万买三房 人车分流小区 次新房环境好绿化高",NA,"南北向","430万",NA,"3室2厅","30281元/㎡","https://wuhan.esf.fang.com/chushou/3_199388879.htm","2018年建","徐家棚"
"南湖花园-南湖路(长虹中学旁)","105㎡","武汉","新力雅园","（共32层）","新房:朝南精装修+方正户型+武昌二环精装修+地鉄口+特惠房源",NA,"南北向","178万",NA,"3室2厅","16952元/㎡","https://wuhan.esf.fang.com/chushou/3_199491695.htm","","南湖花园"
"南湖花园-南湖路(长虹中学旁)","105㎡","武汉","新力雅园","（共34层）","武汉新二环内,特价17000起毛坯,面积103-131平可选",NA,"南北向","178万",NA,"3室2厅","16952元/㎡","https://wuhan.esf.fang.com/chushou/3_199491713.htm","2022年建","南湖花园"
"南湖花园-武昌南湖新城建安街特1号","124.77㎡","武汉","水域天际","（共11层）","水域天际 3室2厅 124.77平",NA,"南北向","398万",NA,"3室2厅","31898元/㎡","https://wuhan.esf.fang.com/chushou/3_199381967.htm","2007年建","南湖花园"
"徐东-徐东大街51号","95㎡","武汉","武铁佳苑","（共33层）","南北通透 电梯房 武铁佳苑 2室2厅 精装修 诚心出售",NA,"南北向","155万",NA,"2室2厅","16315元/㎡","https://wuhan.esf.fang.com/chushou/3_199388036.htm","2013年建","徐东"
